Source,Target,Y2009
143,74,15000.0
163,73,14995.0
79,75,14992.0
148,29,14979.0
96,2,14882.0
56,120,14872.0
62,169,14792.0
74,145,14784.0
157,162,14729.0
127,122,14667.0
121,107,14595.0
148,71,14577.0
33,144,14557.0
53,73,14552.0
32,47,14449.0
56,75,14351.0
128,161,14301.0
53,128,14284.0
73,106,14260.0
56,137,14250.0
162,78,14245.0
56,149,14233.0
157,40,14221.0
57,161,14186.0
148,122,14135.0
133,89,14131.0
21,11,14115.0
79,149,14115.0
1,113,14113.0
6,169,14103.0
20,139,14101.0
123,133,14018.0
79,138,14015.0
143,29,14000.0
79,81,14000.0
57,81,14000.0
32,44,14000.0
110,142,13967.0
138,14,13965.0
21,6,13958.0
128,116,13908.0
7,89,13907.0
138,128,13891.0
14,113,13838.0
28,62,13816.0
13,92,13813.0
164,12,13799.0
32,169,13794.0
142,95,13712.0
53,92,13698.0
33,23,13695.0
6,116,13688.0
73,157,13688.0
87,33,13658.0
21,65,13654.0
137,110,13627.0
33,123,13617.0
30,33,13598.0
162,41,13590.0
29,64,13589.0
33,54,13560.0
14,78,13529.0
147,32,13516.0
142,57,13477.0
63,79,13447.0
139,41,13429.0
93,44,13416.0
64,157,13392.0
138,33,13360.0
53,114,13355.0
56,82,13272.0
148,139,13270.0
141,133,13249.0
165,21,13229.0
151,49,13216.0
133,73,13173.0
81,57,13151.0
160,7,13123.0
147,84,13109.0
73,18,13034.0
165,125,13026.0
160,107,13020.0
21,73,13000.0
29,85,12990.0
71,148,12989.0
123,49,12942.0
165,101,12926.0
139,23,12905.0
44,122,12893.0
73,164,12845.0
88,44,12836.0
125,149,12802.0
43,123,12794.0
140,125,12669.0
128,96,12628.0
14,149,12613.0
14,64,12609.0
162,148,12530.0
143,113,12510.0
57,139,12490.0
33,48,12481.0
151,78,12465.0
119,21,12459.0
142,121,12454.0
56,110,12428.0
147,37,12389.0
49,84,12351.0
162,7,12308.0
160,138,12293.0
57,138,12264.0
92,53,12249.0
21,139,12239.0
127,125,12210.0
7,91,12200.0
133,113,12162.0
101,65,12154.0
143,139,12139.0
41,38,12122.0
14,127,12107.0
96,115,12104.0
160,14,12080.0
162,161,12071.0
139,138,12052.0
4,19,12046.0
148,64,12043.0
93,41,12041.0
17,73,12041.0
64,33,12015.0
128,151,12000.0
79,151,12000.0
57,151,12000.0
32,148,12000.0
57,101,12000.0
57,74,12000.0
143,127,11990.0
148,123,11989.0
164,11,11989.0
162,142,11988.0
89,76,11974.0
20,7,11973.0
114,41,11939.0
79,169,11914.0
162,138,11891.0
4,79,11888.0
92,44,11880.0
34,36,11857.0
7,121,11809.0
33,42,11795.0
33,65,11755.0
157,149,11719.0
114,148,11714.0
73,49,11707.0
157,158,11672.0
37,14,11658.0
138,44,11595.0
7,92,11592.0
30,103,11591.0
59,157,11574.0
29,96,11551.0
56,11,11550.0
33,166,11528.0
29,47,11517.0
14,142,11503.0
81,29,11499.0
162,125,11462.0
6,151,11417.0
138,64,11414.0
92,14,11391.0
14,71,11354.0
107,56,11284.0
29,50,11277.0
7,113,11267.0
77,73,11243.0
162,137,11191.0
64,107,11178.0
41,20,11155.0
151,82,11142.0
93,7,11127.0
4,29,11092.0
107,113,11076.0
128,21,11057.0
142,81,11038.0
56,113,11033.0
123,157,11027.0
96,100,11024.0
79,147,11000.0
79,44,11000.0
56,29,11000.0
14,29,11000.0
162,116,10988.0
128,77,10952.0
48,73,10944.0
28,14,10919.0
79,32,10914.0
107,101,10907.0
127,41,10894.0
161,113,10876.0
79,160,10870.0
157,79,10868.0
164,56,10860.0
122,78,10841.0
21,78,10813.0
125,161,10801.0
68,33,10800.0
151,85,10787.0
57,91,10770.0
122,38,10770.0
125,162,10758.0
151,105,10753.0
79,96,10705.0
162,144,10700.0
4,119,10661.0
148,73,10638.0
29,32,10633.0
57,96,10624.0
92,56,10608.0
62,83,10568.0
73,84,10510.0
57,11,10509.0
164,111,10486.0
147,115,10485.0
165,169,10411.0
28,164,10403.0
165,57,10400.0
138,20,10390.0
59,64,10389.0
151,14,10384.0
21,103,10320.0
77,114,10318.0
43,14,10317.0
93,77,10316.0
56,166,10315.0
59,143,10313.0
41,92,10310.0
63,113,10291.0
6,162,10258.0
78,49,10249.0
142,159,10247.0
7,75,10236.0
139,162,10211.0
93,147,10209.0
57,116,10192.0
160,64,10165.0
160,143,10148.0
142,133,10139.0
147,72,10138.0
33,10,10086.0
143,142,10047.0
33,100,10016.0
29,82,10002.0
29,148,10000.0
32,14,10000.0
29,44,10000.0
164,7,10000.0
21,151,10000.0
21,41,10000.0
81,21,9984.0
164,91,9981.0
79,4,9970.0
107,29,9966.0
21,121,9954.0
88,143,9942.0
61,5,9941.0
128,138,9931.0
123,64,9901.0
169,137,9894.0
19,164,9890.0
6,81,9890.0
2,113,9868.0
33,47,9860.0
53,49,9860.0
21,116,9846.0
142,77,9844.0
29,113,9835.0
157,1,9832.0
48,33,9818.0
107,21,9814.0
148,44,9788.0
147,38,9783.0
96,57,9782.0
125,64,9772.0
103,79,9769.0
172,142,9767.0
36,73,9764.0
139,143,9752.0
137,14,9746.0
29,169,9745.0
4,48,9723.0
151,57,9718.0
41,133,9693.0
37,162,9679.0
121,137,9665.0
33,103,9649.0
48,101,9648.0
127,138,9631.0
44,56,9589.0
78,164,9570.0
14,85,9555.0
107,121,9554.0
50,65,9544.0
110,109,9539.0
41,23,9508.0
7,156,9496.0
143,168,9469.0
92,57,9463.0
122,139,9460.0
142,37,9456.0
37,62,9439.0
21,70,9438.0
162,133,9435.0
62,124,9430.0
138,38,9412.0
128,126,9412.0
160,41,9386.0
28,143,9382.0
48,62,9371.0
73,75,9370.0
33,56,9366.0
151,87,9366.0
107,32,9358.0
33,86,9340.0
125,85,9338.0
157,83,9291.0
114,56,9289.0
122,33,9288.0
82,161,9253.0
49,103,9251.0
143,39,9245.0
33,61,9230.0
107,116,9224.0
119,33,9217.0
57,32,9180.0
82,49,9178.0
13,14,9169.0
74,48,9165.0
151,142,9158.0
59,62,9151.0
28,77,9134.0
89,162,9129.0
162,21,9117.0
48,44,9114.0
157,127,9106.0
88,125,9101.0
74,139,9098.0
33,102,9095.0
19,33,9087.0
32,19,9085.0
120,164,9083.0
128,42,9069.0
139,78,9044.0
74,120,9014.0
128,29,9000.0
29,11,8996.0
122,53,8992.0
53,6,8983.0
7,34,8971.0
